,Latitude,Longitude,City,Country,Temperature,Humidity,Cloudiness,Wind Speed
43,59.24,86.98,belyy yar,ru,29.75,78,0,4.29
44,68.09,67.49,aksarka,ru,30.11,94,92,2.84
45,-45.68,-75.19,coihaique,cl,49.1,100,12,19.35
46,-7.71,110.18,depok,id,73.76,91,92,3.8
47,43.29,-31.24,lagoa,pt,64.13,93,92,21.25
48,3.38,-6.09,san-pedro,ci,81.5,100,100,8.43
49,-19.9,65.36,grand river south east,mu,78.62,99,76,14.14
50,62.28,-107.8,yellowknife,ca,41.0,100,0,6.04
51,21.55,-40.36,ponta do sol,cv,73.67,100,0,17.6
52,-58.46,-141.23,rikitea,pf,37.58,90,92,20.36
53,-66.87,127.47,new norfolk,au,16.34,87,80,10.07
54,-47.16,-4.4,cape town,za,40.82,100,32,26.66
55,-21.95,107.92,carnarvon,au,72.68,100,80,20.13
56,-35.82,67.95,mahebourg,mu,61.61,100,92,4.85
57,31.78,-6.75,marrakesh,ma,47.03,96,32,1.5
58,-13.68,-0.71,jamestown,sh,73.04,100,8,17.38
59,21.03,159.97,butaritari,ki,77.81,100,0,13.69
60,-25.42,114.36,carnarvon,au,50.81,87,0,3.51
61,39.34,69.84,navabad,tj,37.85,95,92,1.61
62,10.28,74.24,kavaratti,in,76.01,100,92,9.95
63,-62.2,152.07,hobart,au,33.53,87,92,25.77
64,-52.15,-135.8,rikitea,pf,47.12,100,92,13.58
65,3.56,-21.59,goderich,sl,78.71,100,92,6.6
66,-68.64,118.54,albany,au,1.85,73,76,15.32
67,-52.28,119.17,albany,au,37.31,100,20,7.83
68,-2.24,157.43,kieta,pg,84.92,100,76,11.07
69,51.21,-91.91,sioux lookout,ca,64.58,92,80,4.07
70,-24.51,176.36,isangel,vu,70.25,100,88,14.58
71,67.56,-30.39,olafsvik,is,32.09,99,64,9.89
72,-24.46,-170.03,alofi,nu,72.05,100,92,3.36
73,-51.3,135.54,portland,au,47.03,90,92,34.27
74,43.37,1.7,saint-orens-de-gameville,fr,62.6,93,24,4.7
75,-49.59,67.08,saint-philippe,re,38.03,100,76,32.82
76,-22.25,-31.54,caravelas,br,74.21,100,48,17.49
77,68.55,-131.44,tuktoyaktuk,ca,32.54,95,76,10.85
78,45.45,143.85,novikovo,ru,44.87,89,8,12.19
79,-44.18,-150.16,mataura,pf,53.96,100,92,28.01
80,-55.47,-79.99,punta arenas,cl,39.92,100,48,15.66
81,-62.99,26.02,kruisfontein,za,28.4,100,80,8.1
82,64.77,18.89,ornskoldsvik,se,48.2,76,0,3.36
83,-0.71,6.76,port-gentil,ga,79.07,100,8,5.37
84,-32.78,-8.4,jamestown,sh,64.58,100,56,22.93
85,5.23,-41.18,cururupu,br,79.61,100,32,14.99
86,-36.26,58.76,saint-philippe,re,60.35,100,92,12.64
87,-52.7,52.66,taolanaro,mg,34.88,100,44,30.42
88,-5.21,-96.91,puerto ayora,ec,77.18,100,24,14.7
89,-51.57,-47.38,mar del plata,ar,39.65,100,0,29.97
90,-52.05,70.09,saint-philippe,re,36.05,100,68,29.91
91,20.66,95.43,meiktila,mm,75.11,94,88,9.55
92,5.85,-112.56,san patricio,mx,81.23,100,56,15.82
93,-18.55,-29.21,belmonte,br,77.18,100,0,19.13
94,35.7,139.22,itsukaichi,jp,66.38,82,90,3.36
95,37.09,-18.18,camacha,pt,61.43,100,80,14.99
96,-56.67,-18.45,arraial do cabo,br,35.69,94,68,26.22
97,-38.32,-16.57,jamestown,sh,59.0,98,76,20.36
98,-51.21,-115.38,rikitea,pf,41.63,100,68,19.57
99,13.2,3.1,dosso,ne,86.36,58,0,5.41
100,-65.04,-177.94,vaini,to,26.15,100,68,42.84
101,-56.38,-167.18,avarua,ck,38.66,100,20,25.77
102,-58.35,124.9,albany,au,33.89,100,92,20.47
103,-55.73,62.78,taolanaro,mg,31.46,100,56,21.41
104,-49.33,62.57,saint-philippe,re,38.48,100,64,29.91
105,6.14,131.0,kloulklubed,pw,83.75,100,56,5.53
106,18.14,-128.0,guerrero negro,mx,73.94,99,92,19.13
107,-21.38,82.89,hithadhoo,mv,73.94,100,92,21.47
108,-11.64,-137.17,atuona,pf,79.25,100,0,12.12
109,26.58,123.76,ishigaki,jp,81.68,98,8,7.83
110,-60.55,-7.46,cape town,za,27.05,100,12,24.94
111,-9.53,-167.69,samusu,ws,82.67,100,76,15.88
112,-64.0,71.05,saint-philippe,re,6.44,100,80,22.64
113,63.2,-35.17,tasiilaq,gl,40.01,100,64,9.66
114,56.8,-168.5,bethel,us,38.93,100,32,1.5
115,27.75,-42.06,ribeira grande,pt,71.96,100,88,9.33
116,-32.44,7.29,luderitz,na,65.48,100,32,29.24
117,-58.69,145.26,hobart,au,38.57,85,92,32.21
118,-13.35,178.98,asau,tv,81.5,100,48,11.79
119,26.08,17.01,sabha,ly,76.1,29,0,9.66
120,47.25,113.56,baruun-urt,mn,33.53,89,8,7.09
121,14.7,-10.17,nioro,ml,93.02,47,92,2.51
122,11.18,-5.12,orodara,bf,78.44,85,0,5.41
123,-13.5,93.41,bengkulu,id,80.6,100,88,23.87
124,16.8,-164.65,kapaa,us,77.54,100,68,11.79
125,-5.54,-81.98,paita,pe,68.9,100,0,11.45
126,61.11,-48.29,paamiut,gl,28.85,100,8,5.03
127,-18.71,167.73,vila,vu,75.47,100,76,11.07
128,68.18,64.34,severnyy,ru,31.64,100,88,14.36
129,-45.3,-101.55,castro,cl,47.21,100,0,18.34
130,40.67,28.22,silivri,tr,64.42,82,75,11.41
131,-27.7,156.08,byron bay,au,69.53,100,76,15.82
132,-48.89,-3.98,cape town,za,39.56,100,56,25.77
133,-15.39,-70.56,lampa,pe,59.0,38,0,11.41
134,-30.39,-114.06,rikitea,pf,66.56,100,92,13.98
135,53.12,-104.0,nipawin,ca,75.2,25,1,17.22
136,-6.53,173.96,lolua,tv,81.05,100,88,6.53
137,-12.98,-23.42,georgetown,sh,77.45,100,8,18.72
138,-11.45,-74.54,mazamari,pe,71.96,82,20,1.34
139,66.52,35.4,umba,ru,43.88,58,32,3.62
140,52.28,-57.58,saint-augustin,ca,36.14,84,44,9.62
141,-30.76,-102.06,lebu,cl,66.11,100,68,22.19
142,24.34,128.85,itoman,jp,82.22,98,0,9.33
143,-58.74,-51.25,ushuaia,ar,26.15,100,48,14.47
144,16.22,-96.65,miahuatlan,mx,87.8,66,5,11.41
145,61.82,161.3,evensk,ru,33.08,98,68,3.24
146,14.24,36.43,himora,et,77.18,69,80,7.09
147,29.85,-106.39,ahumada,mx,94.1,11,8,4.81
148,-55.71,34.06,port alfred,za,32.09,100,12,17.67
149,-23.2,-120.2,rikitea,pf,71.42,100,80,14.92
150,-4.64,65.74,hithadhoo,mv,82.13,100,48,10.18
151,-40.84,101.45,busselton,au,53.51,100,92,20.85
152,21.66,-17.69,nouadhibou,mr,66.2,94,0,26.17
153,-10.22,-76.58,san miguel de cauri,pe,55.49,39,100,1.05
154,51.5,17.79,ostrow wielkopolski,pl,70.25,56,0,10.89
155,45.15,48.96,kirovskiy,ru,67.28,100,0,12.68
156,54.93,108.54,severobaykalsk,ru,32.0,83,0,2.06
157,-36.2,-158.69,avarua,ck,63.86,96,68,20.4
158,-36.51,173.13,dargaville,nz,59.27,100,80,21.36
159,48.78,-5.29,plouzane,fr,57.65,96,64,12.46
160,27.41,10.14,gat,ly,88.16,16,92,9.33
161,17.26,112.91,wanning,cn,87.35,97,0,4.85
162,44.79,38.14,abinsk,ru,64.4,72,0,15.66
163,53.09,-39.8,nanortalik,gl,42.8,96,92,15.32
164,38.23,-179.86,kapaa,us,62.42,98,76,19.91
165,-51.31,60.16,taolanaro,mg,36.68,100,68,31.47
166,17.8,-114.14,cabo san lucas,mx,77.9,100,0,15.7
167,-20.5,-95.57,hualmay,pe,68.81,100,64,6.76
168,-57.23,45.58,east london,za,32.36,100,76,38.03
169,-29.64,131.15,yulara,au,45.86,80,0,3.51
170,17.13,55.57,salalah,om,85.01,95,12,16.33
171,63.34,108.31,yerbogachen,ru,36.86,75,48,8.16
172,42.85,-2.35,zumarraga,es,60.46,87,75,8.05
173,28.94,-85.03,callaway,us,74.66,100,92,29.75
174,-25.25,130.22,yulara,au,43.88,85,0,3.36
175,-61.35,58.76,taolanaro,mg,23.36,100,68,6.31
176,47.56,153.77,severo-kurilsk,ru,37.4,97,88,13.13
177,9.13,5.97,bida,ng,81.05,87,8,2.8
178,32.02,51.8,shahreza,ir,49.73,83,24,2.13
179,3.31,-117.73,san patricio,mx,80.78,100,12,14.14
180,65.13,77.71,tarko-sale,ru,35.6,96,76,13.35
181,-47.98,45.43,tsihombe,mg,39.38,100,80,19.35
182,-16.88,70.03,quatre cocos,mu,79.34,99,68,19.91
183,17.74,-11.2,maghama,mr,90.68,20,0,7.38
184,3.58,57.27,victoria,sc,83.3,100,92,11.9
185,8.31,25.39,raga,sd,72.68,73,36,3.91
186,34.39,-161.17,kapaa,us,62.06,97,100,7.76
187,42.17,72.82,toktogul,kg,45.05,95,92,1.61
188,53.76,98.03,nizhneudinsk,ru,41.9,70,0,5.75
189,48.02,-125.15,ucluelet,ca,60.8,55,1,9.17
190,6.8,-28.65,sao filipe,cv,78.35,100,76,8.43
191,-10.89,-104.04,puerto ayora,ec,74.57,100,80,14.36
192,-66.84,-2.85,cape town,za,29.3,97,80,17.34
193,61.66,-148.82,palmer,us,59.59,44,40,5.82
194,3.53,148.07,lorengau,pg,81.95,100,32,5.86
195,-13.22,-50.45,sao miguel do araguaia,br,77.81,70,0,4.63
196,-38.21,71.27,mahebourg,mu,56.03,100,92,3.29
197,-54.88,60.55,taolanaro,mg,32.54,100,8,16.71
198,8.46,94.37,sabang,id,85.1,100,64,12.46
199,30.02,107.93,fuling,cn,60.98,97,92,2.06
200,-1.33,14.95,ewo,cg,73.76,95,24,6.04
201,-10.94,-37.05,aracaju,br,77.0,83,20,4.7
202,-22.24,32.84,chiredzi,zw,66.11,73,0,3.02
203,-33.67,144.96,griffith,au,53.42,78,68,8.84
204,1.61,-62.33,boa vista,br,72.95,100,92,1.79
205,38.46,169.67,nikolskoye,ru,65.84,87,92,29.19
206,25.09,19.42,awjilah,ly,77.45,32,0,9.33
207,43.52,-85.63,big rapids,us,87.57,25,1,11.41
208,5.92,-1.7,dunkwa,gh,76.01,89,44,5.86
209,55.82,-53.05,saint anthony,ca,35.15,100,36,15.7
210,23.88,-179.12,kapaa,us,75.38,100,32,14.65
211,43.52,-114.29,hailey,us,66.2,52,40,5.82
212,-25.65,-130.38,rikitea,pf,73.67,100,68,14.47
213,-21.29,-57.37,fuerte olimpo,py,87.26,32,0,8.16
214,-11.62,-100.17,puerto ayora,ec,73.67,100,56,12.3
215,42.99,-92.76,waverly,us,96.98,28,1,9.17
216,67.15,-85.97,attawapiskat,ca,29.75,99,80,6.53
217,47.16,124.95,ranghulu,cn,45.59,87,8,3.02
218,19.22,139.05,airai,pw,85.91,99,48,5.64
219,46.41,71.14,atasu,kz,52.34,91,36,12.86
220,-36.18,-96.71,lebu,cl,56.66,100,56,16.37
221,57.51,-69.92,iqaluit,ca,36.86,93,44,12.41
222,-27.55,-118.82,rikitea,pf,70.79,100,24,12.35
223,8.34,90.97,port blair,in,85.73,100,48,18.39
224,9.73,33.43,asosa,et,73.76,91,76,2.84
225,-3.08,-61.18,manacapuru,br,83.21,81,68,3.24
226,42.74,60.96,karauzyak,uz,52.7,39,0,7.43
227,-28.22,-127.53,rikitea,pf,71.15,100,64,19.06
228,-69.79,72.44,saint-philippe,re,-7.69,60,0,18.72
229,41.23,51.7,artyom,az,71.15,97,0,9.17
230,54.08,177.09,beringovskiy,ru,41.36,96,92,19.91
231,-69.55,-59.86,ushuaia,ar,-14.27,85,48,4.25
232,-28.03,10.21,luderitz,na,64.94,100,92,14.81
233,20.92,147.83,katsuura,jp,82.04,100,48,7.05
234,-57.76,45.62,east london,za,32.36,100,44,38.07
235,-2.24,-50.86,portel,br,76.55,97,76,4.52
236,-66.68,-148.24,mataura,pf,26.15,100,68,23.98
237,0.26,39.76,garissa,ke,77.36,66,0,13.13
238,3.02,-26.07,sao filipe,cv,80.6,100,64,6.87
239,-29.94,-9.02,jamestown,sh,68.27,100,0,16.82
240,-61.26,4.74,hermanus,za,32.0,95,92,24.72
241,-55.95,-5.18,cape town,za,31.1,100,20,23.2
242,57.47,24.27,saulkrasti,lv,57.2,82,0,5.82
243,59.93,-68.98,iqaluit,ca,30.2,92,75,18.34
244,67.39,-111.12,yellowknife,ca,34.25,100,92,4.29
245,-36.73,-79.49,lebu,cl,58.01,100,92,26.78
246,-17.73,-172.41,neiafu,to,79.52,100,80,18.23
247,-13.12,18.26,chissamba,ao,58.73,69,44,2.51
248,-29.48,146.85,moree,au,56.39,79,88,7.94
249,62.99,-50.63,paamiut,gl,31.28,95,20,6.04
250,5.55,52.11,eyl,so,83.93,99,56,25.28
251,-2.66,-121.89,atuona,pf,79.52,100,0,14.09
252,65.03,-135.83,mayo,ca,29.66,90,88,2.91
253,41.46,-6.84,macedo de cavaleiros,pt,60.26,69,44,3.58
254,61.87,-51.61,paamiut,gl,33.89,100,32,14.65
255,-23.09,-163.08,avarua,ck,74.93,100,92,6.87
256,43.56,-5.95,aviles,es,57.2,93,75,3.36
257,-51.13,72.82,souillac,mu,36.95,100,56,33.22
258,-26.69,41.56,ampanihy,mg,74.21,100,0,13.13
259,18.89,56.85,salalah,om,84.11,95,0,14.14
260,-11.99,112.07,gondanglegi,id,82.13,100,76,17.34
261,-65.68,-55.02,ushuaia,ar,-11.12,73,44,7.16
262,60.19,165.1,tilichiki,ru,35.15,98,88,11.68
263,-48.85,-159.79,mataura,pf,53.87,96,48,29.46
264,24.53,20.51,jalu,ly,76.55,32,0,9.44
265,56.59,74.7,tara,ru,30.2,68,0,5.41
266,-64.55,-61.81,ushuaia,ar,-11.03,99,80,1.9
267,8.24,96.81,kathu,th,84.92,100,88,5.26
268,39.56,-161.98,kapaa,us,52.61,100,0,19.57
269,16.77,-112.55,cabo san lucas,mx,79.07,100,0,13.35
270,-1.82,103.79,jambi,id,73.67,98,88,3.13
271,54.53,129.64,fevralsk,ru,50.18,82,0,3.58
272,-59.54,74.16,saint-philippe,re,26.51,100,56,23.98
273,0.44,169.88,tabiauea,ki,83.12,100,64,9.33
274,59.42,126.73,tommot,ru,56.21,78,0,4.25
275,-62.46,-138.57,rikitea,pf,29.84,100,0,4.52
276,9.85,-51.47,iracoubo,gf,79.25,100,8,16.44
277,-10.68,-100.86,puerto ayora,ec,74.48,100,8,13.35
278,43.11,-71.24,candia,us,54.39,58,90,9.17
279,21.46,-71.12,cockburn town,tc,80.78,93,64,18.05
280,-46.06,78.87,mahebourg,mu,45.41,100,92,35.34
281,15.7,-150.31,hilo,us,78.53,100,12,19.06
282,-52.57,22.7,bredasdorp,za,37.76,88,92,23.49
283,-25.16,-179.57,vaini,to,66.65,100,92,6.93
284,34.04,175.01,nikolskoye,ru,69.53,98,36,7.43
285,-10.05,-143.64,atuona,pf,81.5,100,56,13.91
286,67.71,169.54,pevek,ru,35.96,91,12,5.64
287,47.93,81.43,urdzhar,kz,57.2,32,64,5.26
288,50.71,34.63,nyzy,ua,51.89,74,0,3.13
289,32.96,56.99,tabas,ir,80.6,22,12,9.89
290,-61.8,-168.82,vaini,to,31.46,100,80,27.67
291,-7.13,123.0,maumere,id,82.58,100,92,13.98
292,-60.93,160.56,bluff,nz,35.06,90,92,24.38
293,59.41,-84.89,attawapiskat,ca,33.44,95,64,20.58
294,37.72,-176.11,kapaa,us,59.72,98,24,16.49
295,-41.77,-23.95,arraial do cabo,br,56.75,94,92,24.16
296,-20.87,-75.45,camana,pe,64.49,100,0,11.12
297,-26.96,-33.71,sao joao da barra,br,67.01,100,76,12.08
298,43.93,22.84,vidin,bg,65.66,77,0,5.64
299,11.41,168.19,butaritari,ki,82.67,98,44,25.61
300,-9.85,41.78,madimba,tz,82.4,96,12,20.62
301,-65.81,-160.21,mataura,pf,29.3,96,88,14.99
302,-8.66,100.63,bengkulu,id,80.42,100,92,12.86
303,3.01,-43.5,carutapera,br,80.33,100,92,13.09
304,3.11,-72.9,el dorado,co,83.21,72,48,3.36
305,68.38,-7.7,klaksvik,fo,40.82,93,76,17.94
306,59.28,142.82,okhotsk,ru,38.48,91,64,3.91
307,4.59,91.9,banda aceh,id,85.37,100,76,8.16
308,-22.17,172.71,isangel,vu,70.16,100,100,19.62
309,63.14,-57.24,maniitsoq,gl,29.66,100,32,0.89
310,15.43,27.85,umm kaddadah,sd,85.55,18,32,3.58
311,53.84,150.24,vostok,ru,36.41,100,88,2.28
312,-29.18,-110.82,rikitea,pf,70.34,100,92,17.45
313,-44.66,80.56,mahebourg,mu,48.2,100,24,27.63
314,63.31,-159.81,bethel,us,40.55,86,92,6.76
315,51.88,161.02,petropavlovsk-kamchatskiy,ru,39.2,97,92,17.6
316,40.6,-110.18,evanston,us,80.6,7,1,13.87
317,-48.21,-73.29,coihaique,cl,36.59,100,88,1.83
318,67.52,155.35,srednekolymsk,ru,34.88,88,68,3.06
319,-41.48,82.13,bambous virieux,mu,53.78,100,76,21.07
320,59.69,97.57,boguchany,ru,34.7,100,92,4.81
321,41.25,46.5,zaqatala,az,58.87,77,90,9.17
322,37.91,162.65,severo-kurilsk,ru,58.73,100,92,15.88
323,43.02,153.15,sentyabrskiy,ru,41.09,96,88,8.05
324,44.3,73.89,shu,kz,69.71,39,92,21.25
325,-15.47,-17.35,georgetown,sh,73.49,100,48,15.59
326,22.24,11.25,gat,ly,89.24,11,8,12.41
327,66.37,-136.05,aklavik,ca,29.48,80,76,9.44
328,45.6,-69.63,skowhegan,us,59.0,47,0,6.93
329,-7.25,-143.89,atuona,pf,80.15,100,48,14.2
330,33.07,102.35,tianpeng,cn,30.65,98,76,2.91
331,-0.63,71.25,hithadhoo,mv,84.65,100,12,17.38
332,22.59,-157.24,kailua,us,74.75,100,68,16.22
333,25.68,4.41,adrar,dz,86.27,18,92,3.13
334,-2.46,75.08,hithadhoo,mv,81.14,100,36,9.62
335,-33.56,82.59,bambous virieux,mu,63.41,100,88,17.72
336,20.15,-172.7,kapaa,us,77.27,100,56,22.93
337,-55.1,140.93,new norfolk,au,41.99,85,92,33.33
338,-42.21,34.3,east london,za,53.24,100,0,10.67
339,-13.5,60.69,cap malheureux,mu,80.6,98,36,20.07
340,-43.13,-65.94,trelew,ar,57.83,37,80,14.58
341,-34.51,111.01,busselton,au,60.35,100,0,18.72
342,37.4,31.6,seydisehir,tr,48.11,89,8,1.23
343,-56.76,-102.9,punta arenas,cl,41.45,95,20,33.71
344,61.87,128.21,mokhsogollokh,ru,61.88,54,0,6.64
345,65.95,64.16,muzhi,ru,33.62,86,48,14.88
346,51.57,26.75,dubrovytsya,ua,61.07,49,44,9.17
347,43.65,27.62,dobric,bg,60.8,63,0,4.7
348,19.24,-8.8,nioro,ml,93.11,19,0,12.57
349,14.53,-28.68,sao filipe,cv,73.49,100,76,16.22
350,-63.67,-14.91,cape town,za,21.29,100,24,17.72
351,-24.0,42.43,toliary,mg,76.19,100,0,15.66
352,-66.16,-69.01,ushuaia,ar,24.08,100,20,13.98
353,-52.42,-4.41,cape town,za,34.25,98,32,23.87
354,16.83,-119.36,cabo san lucas,mx,76.73,100,0,17.72
355,46.86,31.1,petrivka,ua,62.6,59,0,2.24
356,39.47,143.57,yamada,jp,59.81,100,64,10.11
357,-53.23,46.74,umzimvubu,za,34.34,100,48,27.18
358,-43.13,-60.66,viedma,ar,55.13,94,76,16.49
359,-11.88,-21.69,georgetown,sh,77.09,100,92,19.46
360,-12.59,-20.04,georgetown,sh,77.0,100,24,17.38
361,0.03,77.17,viligili,mv,84.74,100,68,18.57
362,-4.03,48.35,barawe,so,77.36,100,80,11.45
363,-46.01,49.77,tsihombe,mg,40.46,100,48,21.74
364,41.83,172.89,nikolskoye,ru,55.22,82,92,27.89
365,-5.49,91.51,padang,id,83.66,100,76,15.1
366,54.7,-96.39,thompson,ca,66.2,72,36,7.54
367,-35.9,-99.8,lebu,cl,56.03,100,64,15.88
368,58.19,171.92,tilichiki,ru,39.56,94,92,21.92
369,33.39,87.8,lasa,cn,5.99,75,32,2.39
370,24.92,38.62,umm lajj,sa,86.72,19,48,7.83
371,33.83,156.51,sentyabrskiy,ru,65.3,100,92,17.83
372,-61.98,116.43,albany,au,30.83,96,32,0.27
373,-34.72,86.86,geraldton,au,62.06,98,0,18.45
374,54.76,-118.51,grande prairie,ca,66.2,37,75,16.11
375,-44.91,-81.44,castro,cl,48.47,100,88,23.49
376,-23.41,-108.99,rikitea,pf,74.48,99,36,14.2
377,10.6,-126.51,cabo san lucas,mx,81.68,100,64,11.45
378,39.89,-30.35,ribeira grande,pt,66.92,100,0,10.67
379,-65.96,98.7,busselton,au,15.62,78,80,9.44
380,-47.98,-158.46,mataura,pf,53.87,97,76,25.99
381,-21.17,-59.59,filadelfia,py,89.78,34,0,15.37
382,-13.91,-40.58,maracas,br,69.8,92,68,7.16
383,50.73,-96.86,gimli,ca,58.1,62,0,10.11
384,-47.22,116.34,albany,au,44.06,100,44,25.99
385,-26.63,-163.42,avarua,ck,71.15,100,92,1.9
386,24.22,-0.62,adrar,dz,93.65,12,0,11.45
387,28.75,-7.97,tarudant,ma,74.03,19,0,13.58
388,-9.47,142.68,daru,pg,80.15,98,20,22.7
389,-67.36,-62.0,ushuaia,ar,-4.82,67,76,1.9
390,-19.77,169.66,isangel,vu,72.23,100,92,21.47
391,32.03,161.46,sentyabrskiy,ru,74.93,93,8,23.98
392,59.55,-168.0,nome,us,37.22,100,88,6.31
393,64.12,-158.66,bethel,us,55.4,62,75,3.36
394,-34.69,7.64,saldanha,za,58.73,100,80,32.66
395,44.22,-37.4,ribeira grande,pt,61.16,89,92,31.54
396,59.33,92.76,teya,ru,31.55,95,88,2.62
397,10.19,179.16,butaritari,ki,82.4,100,64,24.61
398,32.98,16.58,misratah,ly,71.06,100,0,6.26
399,26.54,-78.65,freeport,bs,77.0,88,75,3.36
400,-28.83,72.42,bambous virieux,mu,67.73,100,0,6.42
401,-22.71,-56.55,bella vista,py,81.5,40,0,6.26
402,-69.93,-0.53,hermanus,za,11.93,85,80,50.15
403,3.16,-91.7,puerto ayora,ec,78.8,100,0,7.61
404,20.23,111.82,mata,cn,84.47,98,0,10.45
405,44.58,26.64,barcanesti,ro,64.4,59,0,3.36
406,-39.45,-178.14,vaini,to,56.93,100,56,21.74
407,-17.33,161.47,poum,nc,76.91,100,32,16.33
408,37.97,-88.32,harrisburg,us,82.24,55,1,5.82
409,-30.19,-85.45,lebu,cl,64.85,100,64,13.13
410,27.39,155.97,hasaki,jp,77.0,100,88,18.34
411,-64.02,63.79,taolanaro,mg,4.28,87,20,8.16
412,34.49,-83.85,gainesville,us,79.86,69,40,6.93
413,-66.44,-162.41,mataura,pf,26.15,100,68,21.36
414,-50.76,5.94,cape town,za,38.66,98,92,26.78
415,-47.09,10.87,cape town,za,46.76,93,88,18.05
416,-60.22,14.08,hermanus,za,32.36,94,92,38.07
417,-32.82,19.38,ceres,za,42.62,82,64,3.02
418,-13.33,24.38,kabompo,zm,64.76,73,0,3.02
419,-53.66,-134.79,rikitea,pf,44.06,94,48,6.6
420,-59.67,56.14,taolanaro,mg,29.48,100,64,20.18
421,29.31,-5.4,marrakesh,ma,76.64,13,0,11.07
422,12.43,77.24,malavalli,in,67.73,97,24,2.28
423,-44.85,89.85,busselton,au,49.55,100,12,31.99
424,18.16,-136.36,hilo,us,74.48,100,68,19.06
425,56.81,179.1,beringovskiy,ru,40.37,98,80,20.69
426,-6.08,-45.34,barra do corda,br,86.99,43,36,5.41
427,15.4,27.69,umm kaddadah,sd,85.55,18,32,3.58
428,39.62,-6.65,caceres,es,64.4,73,32,6.76
429,10.3,-29.61,sao filipe,cv,75.65,100,0,14.99
430,20.95,111.82,mata,cn,85.01,97,0,9.84
431,-59.1,-68.79,ushuaia,ar,36.86,100,80,20.24
432,-7.12,51.92,victoria,sc,78.98,100,32,7.05
433,15.7,147.67,airai,pw,80.6,100,24,11.18
434,-49.23,-129.68,rikitea,pf,48.02,98,20,14.99
435,38.88,83.92,kuche,cn,48.11,28,0,4.36
436,-9.08,-91.42,san cristobal,ec,74.57,100,92,14.99
437,27.24,-78.35,high rock,bs,78.8,98,76,29.64
438,58.75,145.76,okhotsk,ru,33.35,93,92,5.08
439,-59.02,-145.59,mataura,pf,36.77,88,92,19.84
440,-51.67,-17.15,jamestown,sh,41.18,89,92,28.3
441,-56.84,44.56,east london,za,32.63,100,64,38.97
442,46.15,-23.75,praia da vitoria,pt,58.28,94,92,10.96
443,53.46,103.18,balagansk,ru,47.48,70,0,10.96
444,-42.74,-151.28,mataura,pf,56.48,99,92,17.72
445,-34.3,76.12,bambous virieux,mu,63.14,100,76,18.05
446,60.39,-145.01,palmer,us,48.2,81,75,4.7
447,-12.16,157.53,honiara,sb,80.51,100,76,19.35
448,33.44,-142.59,hilo,us,63.05,100,48,11.56
449,67.18,-175.07,provideniya,ru,30.29,100,68,5.3
